#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x,,,
######New cultures, titles cultural localization, cultural buildings...;;;;;;;;;;;;x,
#;;;;;;;;;;;;x,,,
#Misc;;;;;;;;;;;;x,,,
#;;;;;;;;;;;;x,,,
gaelic;Gaelic;gaélique;;;Gaélica;;;;;;;x,,,
manx;Manx;mannois;;;Manesa;;;;;;;x,,,
cornish;Cornish;cornique;;;Córnica;;;;;;;x,,,
galatian;Galatian;galate;;;Gálata;;;;;;;x,,,
cumbric;Cumbric;cambrien;;;Cumbrica;;;;;;;x,,,
briton;Briton;breton insulaire;;;Bretón Insular;;;;;;;x,,,
galician;Galician;galicien;;;Galicia;;;;;;;x,,,
####### Buildings;;;;;;;;;;;x;,,,
ca_culture_briton_1;Briton Warrior Field;Terrain de guerriers bretons insulaires;;;Breton Warrior Field;;x ,,,
ca_culture_briton_1_desc;A small, open field for training soldiers for the defense of Briton lands.;Un petit terrain ouvert pour entraîner les soldats défendant les territoires des Bretons insulaires.;;;Un pequeño abierto campo para entrenar soldados para la defensa de tierras Bretonas;;x ,,
ca_culture_briton_2;Briton Warrior Camp;Terrain de guerriers bretons insulaires;;;;Breton Warrior Camp;x ,,,
ca_culture_briton_2_desc;A small camp for training loyal regiments of Briton soldiers.;Un petit camp pour entraîner;;;;;x ,,,
ca_culture_briton_3;Briton Warrior Fort;Breton Warrior Fort;;;Fuerte de Guerreros Britones;;x ,,,
ca_culture_briton_3_desc;A veritable stronghold, capable of fielding large, well-trained armies for the defense of the Isles.;Un véritable bastion, capable de déployer des grandes armées bien entraînées pour défendre les îles.;;;;;x 
ca_culture_briton_4;Briton Warrior Fortress;Breton Warrior Fortress;;;Fuerte de guerreros Britones;;x ,,,
ca_culture_briton_4_desc;A powerful fortress, capable of raising great armies in the name of the Briton people.;Une puissante forteresse, capable de lever des grandes armées au nom du peuple breton insulaire.;;;Una poderosa fortaleza, capaz de levantar grandes ejércitos en nombre del pueblo británico.;;x 
ca_culture_group_ocelt_1;Celtic Warmuster;Lieu de rassemblement de guerriers celtes;;;Celtic Warmuster;;;;;;;x,,,
ca_culture_group_ocelt_1_desc;  ;  ;;;;;;;;;;x,,,
ca_culture_group_britrom_1;Brito Bellatorum Praesidium;Brito Bellatorum Praesidium;;;Brito Bellatorum Praesidium;;;;;;;x,,,
ca_culture_group_britrom_1_desc;  ;  ;;;;;;;;;;x,,,
